# From	To	비고
皮{里/裏}	皮裏	里
熱在{里/裏}	熱在裏	里
{里/裏}急	裏急	里
{里/裏}水	裏水	里
{里/裏}寒	裏寒	里
九{里/裏}	九里	里
胯{里/裏}	胯裏	里
{里/裏}急	裏急	里
表{里/裏}	表裏	里
三{里/裏}	三里	里
通{里/裏}	通里	里
五{里/裏}	五里	里
建{里/裏}	建里	里
鄉{里/裏}	鄉里	里
{谷/穀}疸	穀	谷
利淸{谷/穀}	利淸穀	谷
消{谷/穀}	消穀	谷
吞{谷/穀}	吞穀	谷
米{谷/穀}	米穀	谷
{谷/穀}道	穀道	谷
水{谷/穀}	水穀	谷
水{谷/穀}不消	水穀不消	谷
水{谷/穀}不化	水穀不化	谷
陽{谷/穀}	陽谷	谷
然{谷/穀}	然谷	谷
陰{谷/穀}	陰谷	谷
前{谷/穀}	前谷	谷
通{谷/穀}	通谷	谷
陷{谷/穀}	陷谷	谷
合{谷/穀}	合谷	谷
率{谷/穀}	率谷	谷
漏{谷/穀}	漏谷	谷
#間{谷/穀}	間谷	谷
#少{谷/穀}	少谷	谷
{御/禦}風	禦風	御
其它	其他	
		
		
# 일괄변환 예외		
##术 -> 朮	{朮/術}	예외
朮數	術數	
之朮	之術	
道朮	道術	
一朮	一術	
邪朮	邪術	
無朮	無術	
朮亦疏	術亦疏	
奇朮	奇術	
良朮	良術	
朮士	術士	
朮窮	術窮	
方朮	方術	
斯朮	斯術	
避地朮	避地術	
要得朮	要得術	
得其朮	得其術	
醫朮	醫術	
		
# 几 -> 幾	{几/幾}	예외
一幾	一几	
擊幾	擊几	
置幾	置几	
幾幾	几几	
隱幾	隱几	
		
#划 -> 畫	{划/劃/畫}	예외
刀畫	刀劃	
		
##后->後 예외		
太後	太后	
呂後	呂后	
		
##葯->藥 예외		
離騷謂之藥	離騷謂之葯	# 白芷의 이명
		
##余->餘 예외		
餘聞	余聞	
餘知	余知	
餘哀	余哀	
餘嘗	余嘗	
餘意	余意	
餘寓	余寓	
餘曰	余曰	
餘云	余云	
餘暫	余暫	
餘友	余友	
餘與	余與	
餘妹	余妹	
餘姐	余姐	
問餘	問余	
餘爲	余爲	
餘於	余於	
餘笑	余笑	
餘素	余素	
餘訪	余訪	
餘讀	余讀	
餘欲	余欲	
餘出	余出	
餘深悶	余深悶	
餘觀	余觀	
餘試	余試	
放餘	放余	
餘在	余在	
餘言	余言	
餘發一秘方	余發一秘方	
		
##郁->鬱 예외		
醴鬱	醴郁	#내경 인용문
鬱李	郁李	#욱리인
		
##云->云 예외		
氣如云	氣如雲	
云笈七籤	雲笈七籤	
黃云之帶	黃雲之帶	
云岐	雲岐	# 雲岐子
云雨	雲雨	
云母	雲母	
云氣	雲氣	
風云	風雲	
綠云	綠雲	
烏云	烏雲	
白云	白雲	
紫云	紫雲	
病因云中	病因雲中	
云烟	雲烟	
撥云	撥雲	
退云	退雲	
云膜	雲膜	
云瞖	雲瞖	
云霧	雲霧	
云水	雲水	
浮云	浮雲	
云林	雲林	
巫云散	巫雲散	
范云	范雲	# 사람이름
云門	雲門	# 경혈명
薄云	薄雲	
吹云	吹雲	
龍吟云起	龍吟雲起	
云夢	雲夢	# 지역 이름
云南	雲南	# 지역 이름
云霧	雲霧	
		
## 姜->薑 예외		
		
## 干->乾 예외		
天乾	天干	
相乾	相干	
乾於	干於	
射乾	射干	
北方水乾	北方水干	
濁氣乾淸	濁氣干淸	
