# From	To		
# 민감한 글자			
里	{里/裏}		
谷	{谷/穀}		
			
# 일반 글자			
伙	{伙/夥}		
伞	{傘/繖}		
佣	{佣/傭}		
哗	{嘩/譁}		
坛	{壇/罈}		
妆	{妝/粧}		
娴	{嫻/嫺}		
幺	{幺/么}		
庄	{庄/莊}		
御	{御/禦}		
挡	{擋/攩}		
杰	{杰/傑}		
构	{構/搆}		
枪	{槍/鎗}		
檐	{檐/簷}		
毁	{毀/燬/譭}		
签	{簽/籤}		
胧	{朧/矓}		
腌	{腌/醃}		
袅	{裊/嫋}		
赞	{贊/讚}		
迹	{迹/蹟/跡}		
钳	{鉗/箝}		
铲	{鏟/剷}		
锈	{銹/鏽}		
锤	{錘/鎚}		
霉	{霉/黴}		
			
# 다대응간체이나 일대일로 봐도 될듯 : 일대일에 반영함		http://goo.gl/V2rnNp	
##From과 To가 같음			
#洒	{洒/灑}	洒	# 예외지정
#云	{云/雲}	云	# 예외지정
#范	{范/範}	范	# 예외지정
#岳	{岳/嶽}	岳	# 예외지정
## 간체가 번체 원고에도 있을 수 있는 글자여서 일반 원고에도 영향을 미칠 수 있다. -> 간체 원고에만 적용한다.			
冲	衝	{沖/衝}	# 예외지정
坏	壞	{坏/壞}	# 예외지정
姜	薑	{姜/薑}	# 예외지정
后	後	{后/後}	# 예외지정
余	餘	{余/餘}	# 예외지정
郁	鬱	{郁/鬱}	# 예외지정
咸	鹹	{咸/鹹}	# 예외지정
干	乾	{干/乾}	# 예외지정
几	幾	{几/幾}	# 예외지정
冢	塚	{冢/塚}	# 예외지정
夸	誇	{夸/誇}	# 예외지정
荐	薦	{荐/薦}	# 예외지정
游	遊	{游/遊}	# 예외지정
筑	築	{筑/築}	# 예외지정
## 순수간체에서 번체로			
#丰	{丰/豊}	豊	# 예외지정
#叹	{歎/嘆}	歎	# 예외지정
#尝	{嘗/嚐}	嘗	# 예외지정
#当	{當/噹}	當	# 예외지정
#恶	{惡/噁}	惡	# 예외지정
#胜	{胜/勝}	勝	# 예외지정
#兹	{茲/玆}	玆	# 예외지정
#别	{別/彆}	別	# 예외지정
#饥	{饑/飢}	飢	# 예외지정
#捣	{搗/擣}	擣	# 예외지정
#钟	{鍾/鐘}	鍾	# 예외지정
#闲	{閑/閒}	閑	# 예외지정
#鉴	{鑒/鑑}	鑑	# 예외지정
#个	{個/箇}	個	# 예외지정
#勋	{勳/勛}	勳	# 예외지정
#尽	{盡/儘}	盡	# 예외지정
#宁	{寧/甯}	寧	# 예외지정
#并	{并/竝/倂}	竝	# 예외지정
#弥	{彌/瀰}	彌	# 예외지정
#愿	{愿/願}	願	# 예외지정
#据	{据/據}	據	# 예외지정
#晒	{晒/曬}	曬	# 예외지정
#脏	{臟/髒}	臟	# 예외지정
#辉	{輝/煇}	輝	# 예외지정
#铺	{鋪/舖}	鋪	# 예외지정
#扬	{揚/颺}	揚	# 예외지정
#证	{證/証}	證	# 예외지정
#绕	{繞/遶}	繞	# 예외지정
#须	{須/鬚}	須	# 예외지정
#荡	{蕩/盪}	蕩	# 예외지정
#发	{發/髮}	發	# 예외지정
#复	{復/複}	復	# 예외지정
#历	{曆/歷}	歷	# 예외지정
#药	{藥/葯}	藥	# 예외지정
#帘	{帘/簾}	簾	# 예외지정
#盘	{盤/槃}	盤	# 예외지정
#术	{朮/術}	朮	# 예외지정
#汇	{彙/匯}	彙	# 예외지정
#仑	{侖/崙}	崙	# 예외지정
#凄	{淒/悽}	悽	# 예외지정
#划	{划/劃/畫}	畫	# 예외지정
#团	{團/糰}	團	# 예외지정
#确	{确/確}	確	# 예외지정
#凃	{涂/塗}	塗	# 예외지정
#炼	{煉/鍊}		
#径	{徑/逕}		
			
# 간체자를 번체자로 할 때 오류			
#复	複 or 復	변증록	
#干	乾 or 幹	변증록	
#并	幷 or 並	변증록	
#冲	沖 or 衝	변증록	
#曲	曲 or 麯	변증록	
#余	余 or 餘	변증록	
#單	但	변증록	
#签	薟	변증록	
#几几	幾幾	변증록	
#术	朮 or 術	변증록	
#里	里 or 裏	변증록	
#舍	舍 or 捨	변증록	
#云	云 or 雲	변증록	
