	한글명	Correct	Error					
								
								
								
								
								
								
								
								
								
								
		橛骨	厥骨					
		懸樞	懸柱					
		神道	神通					
		舌橫	橫舌					
		舌本_A	舌木					
		匝風	仰風	迎風				
		天滿	天蒲					
		面王	面土					
		屈骨	耳骨					
		關元	關原					
		丹田_C	端田					
		下肓	下言					
		少關	小關					
		上脘	上腕					
		𩩲骬	𩩲骭					
		玉戶	五戶					
		太淵	大淵					
		間谷	聞谷					
		少谷	小谷					
		逆注	通注					
		扁骨	偏骨	尙骨				
		關門	關明					
		腋門	液門_B	掖門_B				
		外勾	外丘_B					
		腹屈	臨窟	腹窟				
		兌衝	銳衝	銳中				
		窗籠	窗聾	窗簧				
		顴髎	權髎					
		淚空	淚腔					
		始光	矢光					
		五處	巨處					
		百勞_B	百傍					
		高蓋	商蓋	高益				
		利機_B	利極					
		承扶	扶承					
		魄戶	魂戶					
		腨腸	踹腸					
		飛揚	飛陽					
		跗陽	付陽	附陽				
		陰蹻	陰躋					
		伏白	復白					
		肓兪	盲兪					
		商曲	高曲					
		石關	石闕					
		食宮	食呂					
		彧中	域中	或中				
		飛虎	飛處					
		瞳子髎	童子髎					
		聽訶	聽河	聽呵				
		率谷	蟀谷	率角				
		天衝	天衢					
		至營	至宮					
		髆井	縛井					
		淵腋	淵掖	淵液	澗腋			
		環跳	環銚					
		喑門	瘖門					
		合顱	會顱	會額				
		巓上	嶺上					
		面正	正面					
		脖胦	膊胦					
		上管	上營					
		骬鶻	骭鶻					
		太泉	大泉					
		蛇頭	池頭					
		扁肩	偏肩					
		腸窟	腸屈	臨窟	長窟	腸窖	腸窩	陽窟
		睛明	精明					
		員柱	眉柱	元柱				
		皮部	皮郄					
		厥陽	厥陰	厥揚				
		昌陽	胃陽					
		肓腧	盲腧					
		前關	前間					
		髖骨_B	臏骨					
단방신편		人蔘	仁蔘					
단방신편		龍葵	龍蔘					
단방신편		鱧腸	醴腸					
단방신편		小八梢魚	小八稍魚					
단방신편		水荏	法荏					
단방신편		棕櫚皮	棕櫚毛					
단방신편		陳艾	煉艾					
단방신편		暑疿瘡	署痱瘡					
단방신편		暑疿瘡	署痱瘡					
찰병요결		中渚	仲渚					
찰병요결		茯苓	茯笭	伏令	㐲令			
찰병요결		胞胎	抱胎					
찰병요결		官桂	宮桂					
광제비급		勿觸	勿𧢿					
		白朮	白術					
침구자생경		僕參	仆參					
침구자생경		伏兎	伏免					
장진요편		舌苔	舌胎					
장진요편		筋縮	筋編					
장진요편		拘攣	抱攣					
장진요편		不止	不上					
장진요편		藿亂	霍亂					
장진요편		咳嗽	咳喇					
침구자생경		巨髎? 居髎?	巨窌		동일한지 확인 필요			
침구자생경	노궁	勞宮	勞官					
침구자생경			喑門	啞門	경혈명 '아문'과 동일한가?			
침구자생경			暴喑		병증명 '폭암'과 동일한가?			
침구자생경		束骨	柬骨					
침구자생경		怠惰	怠情					
침구자생경		乾嘔	千嘔					
		半身不遂	半身下遂					
		癰癤	癰節					
