#TN	Raw1	Raw2	Raw3	Raw4	Raw5	Raw6	#	#한글명	TN	구분	성격	비고	출처	
#	蒴𧄒						#	#				𧄒	광제비급	
#	𧄒麥						#	#					광제비급	
#	𦭷芒						#	#					광제비급	
#	𦭷稻芒						#	#					광제비급	
#							#	#	狵				광제비급	
#							#	#	觸				광제비급	
#							#	#	盫				광제비급	
#葱白	蔥白	䓗白					#	#weakTN처리	葱	본초	통용	이체자?	의방합부	
檳榔	兵郞	#梹榔	槟榔				#	#weakTN처리	檳	본초	통용	이체자?	가감십삼방	
#天窓	天窗						#	#weakTN처리	窓	경혈	통용		일반	
#乳巖	乳岩						#	#weakTN처리	巖	병증	통용		단방신편	
#少商	小啇						#	#weakTN처리	少				광제비급	
#氣之陰郄	氣之陰郤						#	#weakTN처리	郄					
#血郄	血郤						#	#weakTN처리	郄					
#陰郄	陰郤						#	#weakTN처리	郄					
#肉郄	肉郤						#	#weakTN처리	郄					
#浮郄	浮郤						#	#weakTN처리	郄					
#郄中	郤中						#	#weakTN처리	郄					
#素髎	素窌	素㡻					#	#weakTN처리	髎					
#肘髎	肘窌	肘㡻					#	#weakTN처리	髎					
#口禾髎	口禾窌	口禾㡻					#	#weakTN처리	髎					
#面髎	面窌	面㡻					#	#weakTN처리	髎					
#巨髎	巨窌	巨㡻					#	#weakTN처리	髎					
#上髎	上窌	上㡻					#	#weakTN처리	髎					
#次髎	次窌	次㡻					#	#weakTN처리	髎					
#中髎	中窌	中㡻					#	#weakTN처리	髎					
#下髎	下窌	下㡻					#	#weakTN처리	髎					
#顴髎	顴窌	顴㡻					#	#weakTN처리	髎					
#權髎	權窌	權㡻					#	#weakTN처리						
#臑髎	臑窌	臑㡻					#	#weakTN처리						
#肩髎	肩窌	肩㡻					#	#weakTN처리						
#天髎	天窌	天㡻					#	#weakTN처리						
#耳和髎	耳和窌	耳和㡻					#	#weakTN처리						
#目髎	目窌	目㡻					#	#weakTN처리						
#瞳子髎	瞳子窌	瞳子㡻					#	#weakTN처리						
#童子髎	童子窌	童子㡻					#	#weakTN처리						
#瘈瘲	瘛瘲						#	#weakTN처리		병증	통용		침구자생경	
#便秘	便祕						#	#weakTN처리					의방집해	
#瘂門	啞門						#	#weakTN처리		경혈	통용		침구자생경	
#全蝎	全蠍						#	#weakTN처리					의방집해	
#郄門	郤門						#	#weakTN처리	郄					
#居髎	居窌	居㡻					#	#weakTN처리						
